open,high,low,close,totalvolume,timestamp
178.07,178.12,178.0,178.09,184059,2025-08-22T19:31:00Z
178.07,178.12,178.0,178.07,185819,2025-08-22T19:31:00Z
178.07,178.12,178.0,178.06,188761,2025-08-22T19:31:00Z
178.07,178.12,178.0,178.05,190897,2025-08-22T19:31:00Z
178.07,178.12,178.0,178.06,194717,2025-08-22T19:31:00Z
178.07,178.12,178.0,178.05,197762,2025-08-22T19:31:00Z
178.07,178.12,178.0,178.05,200812,2025-08-22T19:31:00Z
178.07,178.12,178.0,178.05,201272,2025-08-22T19:31:00Z
178.05,178.05,178.05,178.05,100,2025-08-22T19:32:00Z
178.05,178.05,178.04,178.04,665,2025-08-22T19:32:00Z
178.05,178.05,178.03,178.03,7304,2025-08-22T19:32:00Z
178.05,178.05,178.03,178.03,13593,2025-08-22T19:32:00Z
178.05,178.05,178.02,178.02,16672,2025-08-22T19:32:00Z
178.05,178.05,178.02,178.03,23301,2025-08-22T19:32:00Z
178.05,178.05,178.01,178.01,25186,2025-08-22T19:32:00Z
178.05,178.05,178.01,178.02,26861,2025-08-22T19:32:00Z
178.05,178.05,178.01,178.02,30161,2025-08-22T19:32:00Z
178.05,178.05,178.0,178.01,47161,2025-08-22T19:32:00Z
178.05,178.05,178.0,178.01,49411,2025-08-22T19:32:00Z
178.05,178.05,178.0,178.01,50321,2025-08-22T19:32:00Z
178.05,178.05,178.0,178.01,50681,2025-08-22T19:32:00Z
178.05,178.05,178.0,178.01,51948,2025-08-22T19:32:00Z
178.05,178.05,178.0,178.01,55109,2025-08-22T19:32:00Z
178.05,178.05,178.0,178.01,57571,2025-08-22T19:32:00Z
178.05,178.05,178.0,178.02,59537,2025-08-22T19:32:00Z
178.05,178.05,178.0,178.02,61137,2025-08-22T19:32:00Z
178.05,178.05,178.0,178.04,64703,2025-08-22T19:32:00Z
178.05,178.05,178.0,178.02,67932,2025-08-22T19:32:00Z
178.05,178.06,178.0,178.06,76210,2025-08-22T19:32:00Z
178.05,178.06,178.0,178.06,76642,2025-08-22T19:32:00Z
178.05,178.06,178.0,178.06,76742,2025-08-22T19:32:00Z
178.05,178.09,178.0,178.06,105435,2025-08-22T19:32:00Z
178.05,178.09,178.0,178.06,108580,2025-08-22T19:32:00Z
178.05,178.09,178.0,178.05,111195,2025-08-22T19:32:00Z
178.05,178.09,178.0,178.02,112595,2025-08-22T19:32:00Z
178.05,178.09,178.0,178.03,113406,2025-08-22T19:32:00Z
178.05,178.09,178.0,178.03,114660,2025-08-22T19:32:00Z
178.05,178.09,178.0,178.01,117460,2025-08-22T19:32:00Z
178.05,178.09,178.0,178.0,117855,2025-08-22T19:32:00Z
178.05,178.09,178.0,178.01,142323,2025-08-22T19:32:00Z
178.05,178.09,178.0,178.0,144656,2025-08-22T19:32:00Z
178.05,178.09,177.99,178.01,147780,2025-08-22T19:32:00Z
178.05,178.09,177.99,178.01,150238,2025-08-22T19:32:00Z
178.05,178.09,177.99,178.01,154669,2025-08-22T19:32:00Z
178.05,178.09,177.99,178.0,155373,2025-08-22T19:32:00Z
178.05,178.09,177.98,177.99,169707,2025-08-22T19:32:00Z
178.05,178.09,177.98,178.0,172697,2025-08-22T19:32:00Z
178.05,178.09,177.98,177.99,175185,2025-08-22T19:32:00Z
178.05,178.09,177.98,177.99,177155,2025-08-22T19:32:00Z
178.05,178.09,177.98,177.99,179105,2025-08-22T19:32:00Z
178.05,178.09,177.98,177.99,180207,2025-08-22T19:32:00Z
178.05,178.09,177.98,177.98,190461,2025-08-22T19:32:00Z
178.05,178.09,177.98,177.99,195637,2025-08-22T19:32:00Z
178.05,178.09,177.98,178.0,197804,2025-08-22T19:32:00Z
178.05,178.09,177.98,178.0,199924,2025-08-22T19:32:00Z
178.05,178.09,177.95,177.96,207509,2025-08-22T19:32:00Z
178.05,178.09,177.94,177.95,215498,2025-08-22T19:32:00Z
178.05,178.09,177.92,177.92,233634,2025-08-22T19:32:00Z
178.05,178.09,177.9,177.91,248175,2025-08-22T19:32:00Z
178.05,178.09,177.9,177.91,251063,2025-08-22T19:32:00Z
178.05,178.09,177.9,177.93,256227,2025-08-22T19:32:00Z
178.05,178.09,177.9,177.92,257427,2025-08-22T19:32:00Z
178.05,178.09,177.9,177.95,276004,2025-08-22T19:32:00Z
178.05,178.09,177.9,177.93,283002,2025-08-22T19:32:00Z
178.05,178.09,177.9,177.94,286182,2025-08-22T19:32:00Z
178.05,178.09,177.9,177.93,286482,2025-08-22T19:32:00Z
178.05,178.09,177.9,177.95,289185,2025-08-22T19:32:00Z
178.05,178.09,177.9,177.94,291370,2025-08-22T19:32:00Z
177.93,177.93,177.93,177.93,500,2025-08-22T19:33:00Z
177.93,177.94,177.93,177.94,1300,2025-08-22T19:33:00Z
177.93,177.94,177.93,177.93,4250,2025-08-22T19:33:00Z
177.93,177.94,177.93,177.93,5920,2025-08-22T19:33:00Z
177.93,177.94,177.93,177.93,6902,2025-08-22T19:33:00Z
177.93,177.94,177.92,177.93,8858,2025-08-22T19:33:00Z
177.93,177.94,177.91,177.92,11769,2025-08-22T19:33:00Z
177.93,177.94,177.9,177.91,14656,2025-08-22T19:33:00Z
177.93,177.94,177.9,177.91,15026,2025-08-22T19:33:00Z
177.93,177.94,177.9,177.91,18146,2025-08-22T19:33:00Z
177.93,177.94,177.88,177.88,26146,2025-08-22T19:33:00Z
177.93,177.94,177.88,177.9,28269,2025-08-22T19:33:00Z
177.93,177.94,177.88,177.91,30069,2025-08-22T19:33:00Z
177.93,177.94,177.88,177.9,32314,2025-08-22T19:33:00Z
177.93,177.94,177.88,177.92,35304,2025-08-22T19:33:00Z
177.93,177.94,177.88,177.91,39237,2025-08-22T19:33:00Z
177.93,177.94,177.88,177.92,44737,2025-08-22T19:33:00Z
177.93,177.94,177.88,177.93,49431,2025-08-22T19:33:00Z
177.93,177.94,177.88,177.92,51081,2025-08-22T19:33:00Z
177.93,177.94,177.88,177.94,74780,2025-08-22T19:33:00Z
177.93,177.94,177.88,177.91,98250,2025-08-22T19:33:00Z
177.93,177.94,177.88,177.92,100503,2025-08-22T19:33:00Z
177.93,177.94,177.88,177.92,102053,2025-08-22T19:33:00Z
177.93,177.94,177.88,177.93,103341,2025-08-22T19:33:00Z
177.93,177.95,177.88,177.95,106798,2025-08-22T19:33:00Z
177.93,177.95,177.88,177.94,107898,2025-08-22T19:33:00Z
177.93,177.95,177.88,177.95,108860,2025-08-22T19:33:00Z
177.93,177.95,177.88,177.95,109810,2025-08-22T19:33:00Z
177.93,177.95,177.88,177.94,110210,2025-08-22T19:33:00Z
177.93,177.95,177.88,177.95,111708,2025-08-22T19:33:00Z
177.93,177.95,177.88,177.95,112883,2025-08-22T19:33:00Z
177.93,177.95,177.88,177.93,117726,2025-08-22T19:33:00Z
177.93,177.95,177.88,177.94,119984,2025-08-22T19:33:00Z
177.93,177.95,177.88,177.94,124021,2025-08-22T19:33:00Z
177.93,177.96,177.88,177.93,127309,2025-08-22T19:33:00Z
177.93,177.96,177.88,177.96,128993,2025-08-22T19:33:00Z
177.93,177.96,177.88,177.96,129747,2025-08-22T19:33:00Z
177.93,177.96,177.88,177.96,134447,2025-08-22T19:33:00Z
177.93,177.96,177.88,177.95,136347,2025-08-22T19:33:00Z
177.93,177.96,177.88,177.94,136691,2025-08-22T19:33:00Z
177.93,177.96,177.88,177.95,137291,2025-08-22T19:33:00Z
177.93,177.96,177.88,177.93,145164,2025-08-22T19:33:00Z
177.93,177.96,177.88,177.93,146629,2025-08-22T19:33:00Z
177.93,177.96,177.88,177.93,147129,2025-08-22T19:33:00Z
177.93,177.96,177.88,177.92,148429,2025-08-22T19:33:00Z
177.93,177.96,177.88,177.93,148589,2025-08-22T19:33:00Z
177.93,177.96,177.88,177.93,149749,2025-08-22T19:33:00Z
177.93,177.96,177.88,177.94,154937,2025-08-22T19:33:00Z
177.93,177.96,177.88,177.93,156064,2025-08-22T19:33:00Z
177.93,177.96,177.88,177.94,156364,2025-08-22T19:33:00Z
177.93,177.96,177.88,177.93,157024,2025-08-22T19:33:00Z
177.93,177.96,177.88,177.94,157165,2025-08-22T19:33:00Z
177.93,177.96,177.88,177.95,163023,2025-08-22T19:33:00Z
177.93,177.96,177.88,177.94,164478,2025-08-22T19:33:00Z
177.93,177.96,177.88,177.93,165032,2025-08-22T19:33:00Z
177.93,177.96,177.88,177.94,165479,2025-08-22T19:33:00Z
177.93,177.96,177.88,177.93,165779,2025-08-22T19:33:00Z
177.93,177.96,177.88,177.94,166941,2025-08-22T19:33:00Z
177.93,177.96,177.88,177.95,169790,2025-08-22T19:33:00Z
177.95,177.95,177.95,177.95,100,2025-08-22T19:34:00Z
177.95,177.96,177.95,177.96,5614,2025-08-22T19:34:00Z
177.95,177.96,177.94,177.94,6761,2025-08-22T19:34:00Z
177.95,177.96,177.94,177.94,8498,2025-08-22T19:34:00Z
177.95,177.96,177.94,177.96,11210,2025-08-22T19:34:00Z
177.95,177.96,177.94,177.96,11410,2025-08-22T19:34:00Z
177.95,177.97,177.94,177.97,16098,2025-08-22T19:34:00Z
177.95,177.98,177.94,177.98,21065,2025-08-22T19:34:00Z
177.95,177.98,177.94,177.97,24989,2025-08-22T19:34:00Z
177.95,177.98,177.94,177.98,31368,2025-08-22T19:34:00Z
177.95,177.98,177.94,177.98,32768,2025-08-22T19:34:00Z
177.95,177.99,177.94,177.99,36308,2025-08-22T19:34:00Z
177.95,177.99,177.94,177.99,37508,2025-08-22T19:34:00Z
177.95,177.99,177.94,177.99,38408,2025-08-22T19:34:00Z
177.95,177.99,177.94,177.99,39292,2025-08-22T19:34:00Z
177.95,177.99,177.94,177.98,40782,2025-08-22T19:34:00Z
177.95,177.99,177.94,177.99,41056,2025-08-22T19:34:00Z
177.95,177.99,177.94,177.96,47918,2025-08-22T19:34:00Z
